Title,Description,Domain,Technologies,Features,Keywords
Face Recognition Attendance,AI-powered face recognition attendance system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","face, recognition, attendance"
Plant Disease Detection,AI-powered plant disease detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","plant, disease, detection"
Brain Tumor Detection,AI-powered brain tumor detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","brain, tumor, detection"
Skin Disease Classification,AI-powered skin disease classification system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","skin, disease, classification"
Road Damage Detection,AI-powered road damage detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","road, damage, detection"
Traffic Sign Recognition,AI-powered traffic sign recognition system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","traffic, sign, recognition"
Helmet Detection,AI-powered helmet detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","helmet, detection"
Emotion Detection,AI-powered emotion detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","emotion, detection"
Crowd Counting,AI-powered crowd counting system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","crowd, counting"
Fire Detection,AI-powered fire detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fire, detection"
Vehicle Detection,AI-powered vehicle detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","vehicle, detection"
License Plate Recognition,AI-powered license plate recognition system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","license, plate, recognition"
Hand Gesture Recognition,AI-powered hand gesture recognition system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","hand, gesture, recognition"
Sign Language Recognition,AI-powered sign language recognition system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","sign, language, recognition"
Object Detection,AI-powered object detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","object, detection"
Defect Detection,AI-powered defect detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","defect, detection"
Waste Classification,AI-powered waste classification system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","waste, classification"
Mask Detection,AI-powered mask detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","mask, detection"
Pothole Detection,AI-powered pothole detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","pothole, detection"
Retail Shelf Monitoring,AI-powered retail shelf monitoring system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","retail, shelf, monitoring"
Animal Detection,AI-powered animal detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","animal, detection"
Flood Detection,AI-powered flood detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","flood, detection"
Parking Space Detection,AI-powered parking space detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","parking, space, detection"
Fruit Quality Inspection,AI-powered fruit quality inspection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fruit, quality, inspection"
Crack Detection,AI-powered crack detection system for computer vision applications.,Computer Vision,"OpenCV, YOLO, TensorFlow","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","crack, detection"
Resume Analyzer,AI-powered resume analyzer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","resume, analyzer"
Fake News Detection,AI-powered fake news detection system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","fake, news, detection"
Sentiment Analysis,AI-powered sentiment analysis system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","sentiment, analysis"
Spam Detection,AI-powered spam detection system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","spam, detection"
News Categorization,AI-powered news categorization system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","news, categorization"
Document Summarizer,AI-powered document summarizer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","document, summarizer"
Question Answering,AI-powered question answering system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","question, answering"
Grammar Checker,AI-powered grammar checker system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","grammar, checker"
Chatbot,AI-powered chatbot system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics",chatbot
Legal Document Analyzer,AI-powered legal document analyzer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","legal, document, analyzer"
Medical Report Summarizer,AI-powered medical report summarizer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","medical, report, summarizer"
Keyword Extraction,AI-powered keyword extraction system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","keyword, extraction"
NER System,AI-powered ner system system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","ner, system"
Language Translator,AI-powered language translator system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","language, translator"
Essay Grader,AI-powered essay grader system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","essay, grader"
Email Classifier,AI-powered email classifier system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","email, classifier"
Meeting Summarizer,AI-powered meeting summarizer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","meeting, summarizer"
Text Simplifier,AI-powered text simplifier system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","text, simplifier"
Contract Analyzer,AI-powered contract analyzer system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","contract, analyzer"
Voice Assistant,AI-powered voice assistant system for natural language processing applications.,Natural Language Processing,"Python, Transformers, BERT","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","voice, assistant"
Blood Work Analyzer,AI-powered blood work analyzer system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","blood, work, analyzer"
Heart Disease Prediction,AI-powered heart disease prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","heart, disease, prediction"
Diabetes Prediction,AI-powered diabetes prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","diabetes, prediction"
Kidney Disease Prediction,AI-powered kidney disease prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","kidney, disease, prediction"
Liver Disease Prediction,AI-powered liver disease prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","liver, disease, prediction"
Breast Cancer Prediction,AI-powered breast cancer prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","breast, cancer, prediction"
Parkinson Detection,AI-powered parkinson detection system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","parkinson, detection"
Pneumonia Detection,AI-powered pneumonia detection system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","pneumonia, detection"
ECG Analyzer,AI-powered ecg analyzer system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","ecg, analyzer"
Disease Symptom Checker,AI-powered disease symptom checker system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","disease, symptom, checker"
Medicine Recommendation,AI-powered medicine recommendation system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","medicine, recommendation"
Patient Risk Prediction,AI-powered patient risk prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","patient, risk, prediction"
Medical Image Segmentation,AI-powered medical image segmentation system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","medical, image, segmentation"
Diet Recommendation,AI-powered diet recommendation system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","diet, recommendation"
Sleep Disorder Prediction,AI-powered sleep disorder prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","sleep, disorder, prediction"
Stroke Prediction,AI-powered stroke prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","stroke, prediction"
Asthma Prediction,AI-powered asthma prediction system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","asthma, prediction"
Anemia Detection,AI-powered anemia detection system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","anemia, detection"
Dental Disease Detection,AI-powered dental disease detection system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","dental, disease, detection"
Eye Disease Detection,AI-powered eye disease detection system for healthcare ai applications.,Healthcare AI,"Python, TensorFlow, Scikit-learn","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","eye, disease, detection"
House Price Prediction,AI-powered house price prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","house, price, prediction"
Stock Price Prediction,AI-powered stock price prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","stock, price, prediction"
Sales Forecasting,AI-powered sales forecasting system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","sales, forecasting"
Student Performance Prediction,AI-powered student performance prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","student, performance, prediction"
Loan Approval Prediction,AI-powered loan approval prediction system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","loan, approval, prediction"
Credit Card Fraud Detection,AI-powered credit card fraud detection system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","credit, card, fraud, detection"
Employee Attrition,AI-powered employee attrition system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","employee, attrition"
Customer Churn,AI-powered customer churn system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","customer, churn"
Weather Forecasting,AI-powered weather forecasting system for predictive analytics applications.,Predictive Analytics,"Python, Scikit-learn, XGBoost","Dashboard, Prediction/Detection, Reports, Authentication, Analytics","weather, forecasting"
